#time,accel_x,accel_y,accel_z
3123.460612,-631.705166,38.285162,-9054.440718
3123.463178,-669.990328,38.285162,-9111.868461
3123.465743,-689.132909,-76.570323,-9073.583299
3123.468308,-631.705166,95.712904,-9035.298138
3123.470873,-593.420005,-38.285162,-9016.155557
3123.473438,-650.847747,19.142581,-9073.583299
3123.476004,-631.705166,-19.142581,-9073.583299
3123.478569,-497.707101,-95.712904,-9111.868461
3123.481134,153.140646,-1971.685822,-9035.298138
3123.483699,-803.988394,918.843878,-8863.014910
3123.486264,-325.423874,-382.851616,-8882.157491
3123.488829,-918.843878,-19.142581,-8977.870395
3123.491395,421.136778,-1091.127106,-9226.723946
3123.493960,1071.984525,-689.132909,-9073.583299
3123.496525,1856.830338,-1397.408398,-9379.864592
3123.499090,1205.982590,-823.130974,-9188.438784
3123.501655,-1014.556782,363.709035,-8767.302006
3123.504221,-2431.107762,-593.420005,-8786.444587
3123.506786,-2297.109696,1531.406464,-9035.298138
3123.509351,-1665.404530,-57.427742,-9226.723946
3123.511916,-1052.841944,708.275490,-9226.723946
3123.514481,-325.423874,-421.136778,-9016.155557
3123.517047,0.000000,1339.980656,-8939.585234
3123.519612,-57.427742,287.138712,-9016.155557
3123.522177,-1110.269686,746.560651,-8920.442653
3123.524742,-1703.689691,650.847747,-9016.155557
3123.527307,-2086.541307,-19.142581,-8977.870395
3123.529872,-1684.547110,861.416136,-8920.442653
3123.532437,-1129.412267,153.140646,-9035.298138
3123.535002,-555.134843,1378.265818,-8901.300072
3123.537567,-593.420005,-823.130974,-9245.866526
3123.540132,-153.140646,-459.421939,-9226.723946
3123.542697,-2354.537438,-478.564520,-9111.868461
3123.545262,-1225.125171,574.277424,-9035.298138
3123.547827,-401.994197,-57.427742,-9092.725880
3123.550391,-2029.113565,1225.125171,-9188.438784
3123.552956,-401.994197,957.129040,-9207.581365
3123.555521,-727.418070,-38.285162,-8709.874264
3123.558086,-1205.982590,1761.117434,-8939.585234
3123.560651,-1282.552914,-459.421939,-9150.153622
3123.563216,-2086.541307,1397.408398,-8805.587168
3123.565781,-1512.263883,-114.855485,-9131.011042
3123.568346,-1110.269686,631.705166,-9092.725880
3123.570911,-593.420005,1244.267752,-9016.155557
3123.573476,-1397.408398,555.134843,-9035.298138
3123.576041,-1014.556782,0.000000,-9035.298138
3123.578606,-995.414202,-957.129040,-9111.868461
3123.581171,-1014.556782,727.418070,-9150.153622
3123.583736,-842.273555,1416.550979,-8997.012976
3123.586301,-1493.121302,2182.254211,-8824.729749
3123.588866,-1512.263883,650.847747,-9016.155557
3123.591430,-1588.834206,-2143.969050,-9092.725880
3123.593995,-401.994197,-1263.410333,-9322.436850
3123.596560,-1320.838075,-765.703232,-9456.434915
3123.599125,-76.570323,1607.976787,-8939.585234
3123.601690,287.138712,-191.425808,-8748.159426
3123.604255,-708.275490,0.000000,-8901.300072
3123.606820,-1397.408398,-2316.252277,-9207.581365
3123.609385,-1052.841944,-248.853550,-9188.438784
3123.611950,114.855485,-746.560651,-9303.294269
3123.614515,95.712904,153.140646,-9016.155557
3123.617080,708.275490,133.998066,-9016.155557
3123.619645,-535.992262,-172.283227,-8997.012976
3123.622210,-918.843878,-574.277424,-8958.727814
3123.624775,-823.130974,-1186.840010,-9150.153622
3123.627340,-918.843878,-382.851616,-9207.581365
3123.629904,-267.996131,-861.416136,-9150.153622
3123.632469,-191.425808,-19.142581,-8958.727814
3123.635034,287.138712,-899.701298,-9322.436850
3123.637599,440.279358,-306.281293,-9111.868461
3123.640163,-363.709035,-2316.252277,-8920.442653
3123.642728,-1512.263883,842.273555,-8901.300072
3123.645293,-363.709035,459.421939,-9111.868461
3123.647857,-803.988394,727.418070,-8920.442653
3123.650422,-76.570323,-1129.412267,-9188.438784
3123.652987,-440.279358,-669.990328,-9131.011042
3123.655552,-344.566454,823.130974,-9111.868461
3123.658116,114.855485,-880.558717,-9360.722011
3123.660681,172.283227,-267.996131,-9073.583299
3123.663246,842.273555,-1703.689691,-9150.153622
