#time,accel_x,accel_y,accel_z
1915.634134,296.082377,-74158.044206,2368.659014
1915.636699,296.082377,-73851.606007,592.164754
1915.639265,-740.205942,-74158.044206,740.205942
1915.641831,296.082377,-74311.263306,3404.947333
1915.644397,1184.329507,-74464.482406,3256.906145
1915.646963,888.247130,-74158.044206,3108.864956
1915.649528,-444.123565,-74464.482406,296.082377
1915.652094,148.041188,-74464.482406,444.123565
1915.654660,-1036.288319,-74311.263306,1924.535449
1915.657226,-0.000000,-74311.263306,2960.823768
1915.659791,888.247130,-74311.263306,2664.741391
1915.662357,-592.164754,-74311.263306,296.082377
1915.664923,-592.164754,-74004.825107,296.082377
1915.667489,-592.164754,-74464.482406,740.205942
1915.670055,148.041188,-74464.482406,2812.782580
1915.672620,592.164754,-73698.386908,2220.617826
1915.675186,740.205942,-74617.701505,1628.453072
1915.677752,444.123565,-74158.044206,-148.041188
1915.680318,-1184.329507,-74464.482406,1184.329507
1915.682883,592.164754,-74617.701505,2516.700203
1915.685449,-12583.501014,-75077.358804,-1184.329507
1915.688015,14952.160028,-72779.072310,5033.400406
1915.690581,4293.194464,-76303.111601,5625.565159
1915.693147,-3552.988522,-75230.577904,8882.471304
1915.695712,20725.766376,-74617.701505,8290.306550
1915.698278,-296.082377,-75383.797003,11103.089130
1915.700844,14952.160028,-75383.797003,10807.006753
1915.703410,9474.636058,-74770.920605,7698.141797
1915.705975,5921.647536,-73545.167808,3404.947333
1915.708541,-1776.494261,-73698.386908,-148.041188
1915.711107,-4589.276840,-72472.634111,2368.659014
1915.713673,-296.082377,-73238.729609,592.164754
1915.716239,-2812.782580,-74158.044206,148.041188
1915.718804,8290.306550,-73238.729609,3849.070898
1915.721370,-5773.606348,-75537.016103,-2960.823768
1915.723784,-13323.706956,-75383.797003,-3404.947333
1915.726197,-6809.894666,-74770.920605,-5625.565159
1915.728611,-6365.771101,-72779.072310,-3552.988522
1915.731024,-2516.700203,-72319.415011,-4737.318029
1915.733438,888.247130,-74004.825107,-1628.453072
1915.735851,-2960.823768,-75843.454302,888.247130
1915.738265,3997.112087,-74770.920605,2516.700203
1915.740678,-7698.141797,-73851.606007,-0.000000
1915.743092,-11843.295072,-75537.016103,3849.070898
1915.745505,2664.741391,-74770.920605,6809.894666
1915.747919,3997.112087,-73238.729609,-9326.594869
1915.750332,-7254.018232,-72472.634111,5329.482782
1915.752746,2220.617826,-74770.920605,7994.224174
1915.755159,-3256.906145,-77528.864398,-8882.471304
1915.757573,-20133.601622,-74924.139704,1332.370696
1915.759986,2220.617826,-73851.606007,1628.453072
1915.762399,-12435.459826,-74311.263306,-3997.112087
1915.764813,2812.782580,-74464.482406,-3552.988522
1915.767226,3701.029710,-75537.016103,-7994.224174
1915.769640,-11103.089130,-75537.016103,-1480.411884
1915.772053,1480.411884,-74617.701505,444.123565
1915.774467,-14211.954086,-73851.606007,3256.906145
1915.776880,-6217.729913,-74158.044206,2960.823768
1915.779294,740.205942,-74158.044206,-4589.276840
1915.781707,3256.906145,-74004.825107,-4441.235652
1915.784121,3997.112087,-74924.139704,-444.123565
1915.786534,-15396.283594,-74617.701505,1924.535449
