#time,accel_x,accel_y,accel_z
3593.474070,-382.851616,1454.836141,-9265.009107
3593.476516,-995.414202,-727.418070,-9571.290400
3593.478961,-1320.838075,-306.281293,-9207.581365
3593.481407,-401.994197,-287.138712,-9322.436850
3593.483852,-765.703232,4345.365842,-9590.432981
3593.486298,-4039.084549,-3483.949706,-9533.005238
3593.488743,1014.556782,1780.260014,-9092.725880
3593.491189,-1378.265818,-2086.541307,-9284.151688
3593.493634,-1856.830338,-1033.699363,-9073.583299
3593.496080,-1244.267752,267.996131,-9265.009107
3593.498525,-1110.269686,-4498.506488,-9915.856854
3593.500971,-1416.550979,1607.976787,-9054.440718
3593.503416,-1205.982590,-1129.412267,-9533.005238
3593.505909,-516.849682,937.986459,-9647.860723
3593.508401,-1933.400661,-650.847747,-9322.436850
3593.510894,287.138712,-57.427742,-8958.727814
3593.513386,-631.705166,727.418070,-9073.583299
3593.515879,-823.130974,708.275490,-8958.727814
3593.518371,-880.558717,3962.514226,-8939.585234
3593.520864,-555.134843,-1129.412267,-9513.862658
3593.523356,-1454.836141,995.414202,-9169.296203
3593.525849,-555.134843,-861.416136,-9513.862658
3593.528341,-325.423874,918.843878,-9360.722011
3593.530834,-899.701298,76.570323,-8939.585234
3593.533326,172.283227,2890.529701,-8690.731683
3593.535819,-1148.554848,-784.845813,-9188.438784
3593.538312,-746.560651,-995.414202,-9245.866526
3593.540804,-1569.691626,-1225.125171,-9399.007173
3593.543297,1799.402595,2258.824534,-9303.294269
3593.545789,-2220.539373,-114.855485,-9150.153622
3593.548282,-1378.265818,-1320.838075,-8633.303941
3593.550774,248.853550,-172.283227,-8901.300072
3593.553267,535.992262,-1225.125171,-8786.444587
3593.555759,-57.427742,5111.069074,-8422.735552
3593.558252,-937.986459,593.420005,-9035.298138
3593.560744,-497.707101,669.990328,-8977.870395
3593.563237,-1225.125171,-746.560651,-9188.438784
3593.565729,57.427742,2239.681954,-9341.579430
3593.568222,-1052.841944,631.705166,-9073.583299
3593.570714,-459.421939,1473.978722,-8614.161360
3593.573207,19.142581,937.986459,-8767.302006
3593.575699,-1052.841944,-1684.547110,-8786.444587
3593.578192,19.142581,2067.398726,-8748.159426
3593.580685,-57.427742,1780.260014,-9054.440718
3593.583177,-631.705166,823.130974,-8786.444587
3593.585670,-746.560651,823.130974,-8690.731683
3593.588162,210.568389,880.558717,-9207.581365
3593.590655,-555.134843,-267.996131,-9054.440718
3593.593147,-1684.547110,-2239.681954,-8480.163294
3593.595640,555.134843,1225.125171,-8901.300072
3593.598132,-803.988394,-1550.549045,-9016.155557
3593.600625,-727.418070,3388.236802,-8480.163294
3593.603117,-995.414202,-1378.265818,-8805.587168
3593.605640,-593.420005,-2852.244539,-9418.149754
3593.608164,-1512.263883,-861.416136,-9245.866526
3593.610687,133.998066,38.285162,-9131.011042
3593.613210,-1263.410333,478.564520,-8882.157491
3593.615733,-401.994197,899.701298,-8537.591037
3593.618256,248.853550,-1225.125171,-8997.012976
3593.620779,-842.273555,-3407.379382,-8939.585234
3593.623302,-708.275490,210.568389,-8614.161360
