freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.060e+03,9.966e+00,1.355e+01,1.084e+03
1.5,7.067e+02,3.279e+01,5.599e+01,7.955e+02
3.1,1.672e+02,3.458e+01,6.405e+01,2.658e+02
4.6,7.398e+02,3.678e+01,6.571e+01,8.423e+02
6.2,2.427e+03,4.082e+01,6.375e+01,2.532e+03
7.7,3.817e+03,4.733e+01,6.347e+01,3.928e+03
9.2,5.092e+03,4.800e+01,6.168e+01,5.201e+03
10.8,6.481e+03,5.301e+01,6.176e+01,6.596e+03
12.3,8.307e+03,5.679e+01,6.385e+01,8.428e+03
13.8,1.061e+04,5.858e+01,6.359e+01,1.073e+04
15.4,1.355e+04,6.684e+01,6.195e+01,1.368e+04
16.9,1.722e+04,7.494e+01,6.358e+01,1.736e+04
18.5,2.181e+04,8.154e+01,6.442e+01,2.195e+04
20.0,2.797e+04,9.626e+01,6.474e+01,2.814e+04
21.5,3.451e+04,1.075e+02,6.433e+01,3.468e+04
23.1,3.906e+04,1.179e+02,6.868e+01,3.924e+04
24.6,4.211e+04,1.288e+02,7.297e+01,4.231e+04
26.1,4.713e+04,1.535e+02,6.853e+01,4.735e+04
27.7,5.307e+04,1.653e+02,7.136e+01,5.331e+04
29.2,5.974e+04,1.637e+02,6.852e+01,5.997e+04
30.8,6.835e+04,1.824e+02,6.528e+01,6.859e+04
32.3,8.028e+04,2.063e+02,6.694e+01,8.055e+04
33.8,9.311e+04,2.246e+02,6.764e+01,9.340e+04
35.4,1.056e+05,2.531e+02,6.942e+01,1.060e+05
36.9,1.199e+05,3.115e+02,6.891e+01,1.203e+05
38.4,1.382e+05,3.848e+02,7.006e+01,1.386e+05
40.0,1.583e+05,4.700e+02,7.051e+01,1.588e+05
41.5,1.774e+05,4.808e+02,8.332e+01,1.779e+05
43.1,1.978e+05,3.952e+02,1.029e+02,1.983e+05
44.6,2.259e+05,3.379e+02,1.162e+02,2.264e+05
46.1,2.668e+05,3.310e+02,1.532e+02,2.673e+05
47.7,3.245e+05,4.045e+02,1.924e+02,3.251e+05
49.2,4.026e+05,5.870e+02,2.325e+02,4.035e+05
50.8,4.985e+05,9.108e+02,2.826e+02,4.997e+05
52.3,6.356e+05,1.407e+03,2.253e+02,6.372e+05
53.8,8.917e+05,2.185e+03,3.856e+02,8.943e+05
55.4,1.332e+06,4.148e+03,9.921e+02,1.337e+06
56.9,2.126e+06,7.912e+03,2.403e+03,2.136e+06
58.4,3.519e+06,1.262e+04,4.382e+03,3.536e+06
60.0,5.088e+06,1.405e+04,3.491e+03,5.106e+06
61.5,5.267e+06,1.038e+04,2.354e+03,5.279e+06
63.1,4.284e+06,7.848e+03,2.268e+03,4.294e+06
64.6,3.470e+06,5.744e+03,4.048e+03,3.479e+06
66.1,2.788e+06,4.008e+03,6.896e+03,2.799e+06
67.7,2.188e+06,2.915e+03,8.931e+03,2.200e+06
69.2,1.698e+06,1.854e+03,8.784e+03,1.709e+06
70.7,1.315e+06,1.442e+03,7.165e+03,1.324e+06
72.3,1.070e+06,1.770e+03,5.561e+03,1.077e+06
73.8,9.192e+05,2.217e+03,4.170e+03,9.256e+05
75.4,8.332e+05,1.974e+03,3.432e+03,8.386e+05
76.9,7.980e+05,1.623e+03,3.517e+03,8.031e+05
78.4,6.661e+05,2.071e+03,4.442e+03,6.727e+05
80.0,5.175e+05,2.415e+03,4.977e+03,5.249e+05
81.5,3.963e+05,1.780e+03,3.848e+03,4.019e+05
83.0,3.095e+05,9.403e+02,2.553e+03,3.130e+05
84.6,2.578e+05,5.867e+02,2.005e+03,2.603e+05
86.1,1.993e+05,3.398e+02,1.645e+03,2.013e+05
87.7,1.491e+05,5.749e+02,2.197e+03,1.518e+05
89.2,1.307e+05,1.783e+03,4.012e+03,1.365e+05
90.7,1.177e+05,3.933e+03,7.199e+03,1.288e+05
92.3,1.414e+05,1.029e+04,1.211e+04,1.638e+05
93.8,1.650e+05,1.645e+04,1.302e+04,1.944e+05
95.3,2.062e+05,1.441e+04,1.174e+04,2.324e+05
96.9,2.304e+05,1.458e+04,1.439e+04,2.594e+05
98.4,2.340e+05,1.703e+04,1.497e+04,2.660e+05
100.0,2.277e+05,1.804e+04,1.166e+04,2.574e+05
101.5,2.072e+05,1.671e+04,6.960e+03,2.309e+05
103.0,1.920e+05,1.832e+04,3.570e+03,2.139e+05
104.6,1.857e+05,2.610e+04,2.253e+03,2.140e+05
106.1,1.739e+05,2.914e+04,1.518e+03,2.046e+05
107.7,1.824e+05,2.891e+04,1.213e+03,2.125e+05
109.2,2.128e+05,2.432e+04,1.280e+03,2.384e+05
110.7,2.480e+05,1.779e+04,1.527e+03,2.673e+05
112.3,2.601e+05,1.055e+04,1.343e+03,2.719e+05
113.8,2.660e+05,7.514e+03,1.049e+03,2.746e+05
115.3,2.818e+05,1.048e+04,1.116e+03,2.934e+05
116.9,2.736e+05,1.243e+04,1.298e+03,2.874e+05
118.4,2.508e+05,9.405e+03,1.142e+03,2.613e+05
120.0,2.302e+05,7.177e+03,9.558e+02,2.384e+05
121.5,2.100e+05,7.268e+03,1.105e+03,2.183e+05
123.0,1.881e+05,7.757e+03,1.512e+03,1.973e+05
124.6,1.648e+05,8.503e+03,2.259e+03,1.756e+05
126.1,1.414e+05,9.704e+03,2.987e+03,1.541e+05
127.6,1.208e+05,7.899e+03,2.829e+03,1.315e+05
129.2,9.969e+04,4.183e+03,1.976e+03,1.058e+05
130.7,7.785e+04,2.459e+03,1.486e+03,8.179e+04
132.3,5.288e+04,1.830e+03,1.228e+03,5.594e+04
133.8,1.418e+04,1.447e+03,5.705e+02,1.620e+04
135.3,1.303e+03,9.806e+02,2.031e+02,2.487e+03
136.9,1.112e+03,1.059e+03,1.903e+02,2.361e+03
138.4,1.363e+03,1.014e+03,1.844e+02,2.562e+03
139.9,2.036e+03,1.084e+03,1.605e+02,3.281e+03
141.5,3.157e+03,1.185e+03,1.364e+02,4.478e+03
143.0,4.754e+03,1.358e+03,1.178e+02,6.230e+03
144.6,6.991e+03,1.584e+03,1.108e+02,8.686e+03
146.1,8.878e+03,1.663e+03,1.158e+02,1.066e+04
147.6,9.976e+03,1.442e+03,1.201e+02,1.154e+04
149.2,1.010e+04,1.182e+03,1.288e+02,1.142e+04
150.7,9.662e+03,9.914e+02,1.358e+02,1.079e+04
152.3,8.124e+03,7.921e+02,1.313e+02,9.047e+03
153.8,6.761e+03,6.606e+02,1.306e+02,7.552e+03
155.3,6.694e+03,8.209e+02,1.205e+02,7.636e+03
156.9,6.194e+03,1.167e+03,1.103e+02,7.472e+03
158.4,7.115e+03,2.010e+03,1.294e+02,9.254e+03
159.9,9.763e+03,3.186e+03,1.292e+02,1.308e+04
161.5,1.259e+04,4.145e+03,1.136e+02,1.685e+04
163.0,1.426e+04,4.661e+03,9.756e+01,1.901e+04
164.6,1.454e+04,4.923e+03,8.106e+01,1.955e+04
166.1,1.362e+04,4.917e+03,7.108e+01,1.861e+04
167.6,1.384e+04,4.792e+03,6.988e+01,1.870e+04
169.2,1.439e+04,4.549e+03,7.478e+01,1.902e+04
170.7,1.430e+04,4.284e+03,8.371e+01,1.867e+04
172.2,1.414e+04,3.980e+03,9.164e+01,1.821e+04
173.8,1.443e+04,3.123e+03,1.029e+02,1.766e+04
175.3,1.365e+04,2.413e+03,1.146e+02,1.618e+04
176.9,1.248e+04,2.488e+03,1.081e+02,1.508e+04
178.4,1.033e+04,2.459e+03,1.187e+02,1.291e+04
