freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.760e+02,6.194e+02,7.660e+01,9.720e+02
1.5,1.323e+03,6.996e+02,2.330e+02,2.256e+03
3.1,1.419e+03,4.083e+02,2.822e+02,2.110e+03
4.6,1.518e+03,8.289e+02,2.568e+02,2.604e+03
6.2,1.135e+03,2.031e+03,1.921e+02,3.358e+03
7.7,1.335e+03,3.067e+03,2.362e+02,4.638e+03
9.3,1.430e+03,3.673e+03,2.153e+02,5.318e+03
10.8,1.138e+03,4.194e+03,2.058e+02,5.538e+03
12.4,9.548e+02,5.061e+03,2.346e+02,6.250e+03
13.9,1.060e+03,6.824e+03,2.672e+02,8.151e+03
15.5,1.241e+03,9.566e+03,2.793e+02,1.109e+04
17.0,1.352e+03,1.247e+04,2.733e+02,1.410e+04
18.5,1.188e+03,1.501e+04,2.640e+02,1.646e+04
20.1,1.343e+03,1.781e+04,2.265e+02,1.938e+04
21.6,1.508e+03,2.120e+04,2.516e+02,2.296e+04
23.2,1.254e+03,2.450e+04,2.634e+02,2.602e+04
24.7,9.039e+02,2.862e+04,2.712e+02,2.980e+04
26.3,1.169e+03,3.391e+04,3.148e+02,3.539e+04
27.8,1.362e+03,4.071e+04,3.461e+02,4.242e+04
29.4,1.388e+03,4.983e+04,3.392e+02,5.155e+04
30.9,1.239e+03,6.143e+04,3.425e+02,6.301e+04
32.5,1.410e+03,7.612e+04,3.157e+02,7.784e+04
34.0,1.200e+03,9.472e+04,3.110e+02,9.623e+04
35.6,1.171e+03,1.197e+05,3.198e+02,1.212e+05
37.1,1.304e+03,1.555e+05,2.991e+02,1.571e+05
38.6,1.272e+03,2.073e+05,2.909e+02,2.089e+05
40.2,1.598e+03,2.879e+05,2.081e+02,2.897e+05
41.7,1.841e+03,4.460e+05,2.054e+02,4.481e+05
43.3,1.592e+03,8.081e+05,4.634e+02,8.102e+05
44.8,1.659e+03,1.397e+06,3.036e+03,1.402e+06
46.4,1.892e+03,1.888e+06,1.030e+04,1.900e+06
47.9,1.732e+03,1.767e+06,1.480e+04,1.784e+06
49.5,1.426e+03,1.315e+06,9.947e+03,1.326e+06
51.0,1.448e+03,9.396e+05,4.910e+03,9.459e+05
52.6,1.324e+03,6.337e+05,3.640e+03,6.387e+05
54.1,1.196e+03,4.354e+05,6.522e+03,4.431e+05
55.6,1.487e+03,2.997e+05,1.646e+04,3.177e+05
57.2,1.770e+03,2.259e+05,2.881e+04,2.565e+05
58.7,2.086e+03,1.744e+05,3.399e+04,2.104e+05
60.3,2.325e+03,1.354e+05,3.188e+04,1.696e+05
61.8,2.480e+03,1.081e+05,2.950e+04,1.401e+05
63.4,2.305e+03,8.489e+04,3.077e+04,1.180e+05
64.9,3.542e+03,6.334e+04,3.432e+04,1.012e+05
66.5,5.718e+03,4.620e+04,5.085e+04,1.028e+05
68.0,9.205e+03,3.966e+04,8.422e+04,1.331e+05
69.6,1.059e+04,4.427e+04,1.107e+05,1.656e+05
71.1,1.069e+04,5.555e+04,1.286e+05,1.948e+05
72.6,1.206e+04,7.763e+04,1.416e+05,2.313e+05
74.2,1.341e+04,9.997e+04,1.452e+05,2.586e+05
