freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.194e+02,2.023e+01,4.604e+01,7.857e+02
1.6,4.170e+02,2.511e+01,4.708e+01,4.892e+02
3.1,2.819e+01,1.725e+01,2.687e+01,7.230e+01
4.7,3.836e+02,1.803e+01,2.549e+01,4.271e+02
6.2,1.339e+03,1.709e+01,2.563e+01,1.382e+03
7.8,2.246e+03,1.789e+01,2.819e+01,2.293e+03
9.3,3.302e+03,1.967e+01,2.830e+01,3.350e+03
10.9,4.536e+03,2.051e+01,2.776e+01,4.584e+03
12.5,5.986e+03,1.967e+01,2.871e+01,6.034e+03
14.0,7.885e+03,2.195e+01,3.186e+01,7.939e+03
15.6,1.029e+04,2.609e+01,3.194e+01,1.035e+04
17.1,1.286e+04,2.901e+01,3.376e+01,1.292e+04
18.7,1.524e+04,3.068e+01,3.351e+01,1.531e+04
20.3,1.811e+04,3.292e+01,3.008e+01,1.817e+04
21.8,2.091e+04,3.826e+01,3.303e+01,2.098e+04
23.4,2.601e+04,5.422e+01,4.720e+01,2.611e+04
24.9,3.117e+04,6.460e+01,6.885e+01,3.130e+04
26.5,3.359e+04,5.955e+01,7.575e+01,3.372e+04
28.0,3.684e+04,5.810e+01,8.764e+01,3.699e+04
29.6,4.376e+04,6.645e+01,8.593e+01,4.391e+04
31.2,5.315e+04,7.883e+01,8.120e+01,5.331e+04
32.7,6.472e+04,9.692e+01,9.246e+01,6.491e+04
34.3,7.894e+04,1.145e+02,1.014e+02,7.915e+04
35.8,9.689e+04,1.255e+02,1.059e+02,9.712e+04
37.4,1.198e+05,1.909e+02,1.239e+02,1.202e+05
38.9,1.466e+05,4.795e+02,1.010e+02,1.471e+05
40.5,1.818e+05,7.581e+02,6.549e+01,1.826e+05
42.1,2.277e+05,9.105e+02,7.491e+01,2.286e+05
43.6,2.827e+05,1.154e+03,1.325e+02,2.840e+05
45.2,3.648e+05,1.438e+03,2.832e+02,3.666e+05
46.7,4.906e+05,1.730e+03,5.867e+02,4.929e+05
48.3,6.573e+05,2.056e+03,1.417e+03,6.607e+05
49.8,8.742e+05,2.529e+03,3.991e+03,8.808e+05
51.4,1.183e+06,2.575e+03,6.763e+03,1.192e+06
53.0,1.651e+06,3.960e+03,1.735e+04,1.673e+06
54.5,2.282e+06,8.056e+03,5.586e+04,2.346e+06
56.1,2.718e+06,1.249e+04,1.168e+05,2.847e+06
57.6,2.799e+06,1.717e+04,1.972e+05,3.013e+06
59.2,2.181e+06,1.787e+04,2.246e+05,2.423e+06
60.8,1.551e+06,1.525e+04,1.817e+05,1.748e+06
62.3,1.296e+06,1.232e+04,1.321e+05,1.440e+06
63.9,1.049e+06,1.016e+04,9.339e+04,1.153e+06
65.4,7.361e+05,8.504e+03,6.086e+04,8.055e+05
67.0,5.927e+05,9.130e+03,4.631e+04,6.481e+05
68.5,5.653e+05,1.030e+04,4.094e+04,6.166e+05
70.1,4.703e+05,1.026e+04,3.181e+04,5.123e+05
71.7,3.584e+05,1.029e+04,2.573e+04,3.945e+05
73.2,2.870e+05,1.003e+04,2.296e+04,3.200e+05
74.8,2.753e+05,9.682e+03,2.113e+04,3.061e+05
76.3,2.574e+05,9.737e+03,1.955e+04,2.867e+05
77.9,2.026e+05,8.762e+03,1.725e+04,2.286e+05
79.4,1.641e+05,7.602e+03,1.442e+04,1.861e+05
81.0,1.468e+05,8.721e+03,1.413e+04,1.696e+05
82.6,1.325e+05,8.158e+03,1.326e+04,1.540e+05
84.1,1.220e+05,7.508e+03,1.156e+04,1.411e+05
85.7,1.182e+05,6.468e+03,9.966e+03,1.346e+05
87.2,1.159e+05,4.854e+03,8.074e+03,1.289e+05
88.8,1.034e+05,4.127e+03,6.224e+03,1.137e+05
90.3,8.212e+04,4.926e+03,5.523e+03,9.257e+04
91.9,6.547e+04,7.651e+03,6.679e+03,7.980e+04
93.5,5.401e+04,9.564e+03,7.938e+03,7.151e+04
95.0,4.577e+04,1.038e+04,8.337e+03,6.448e+04
