freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.675e+01,7.416e+01,1.040e+03,1.141e+03
1.6,3.004e+01,6.228e+01,6.041e+02,6.964e+02
3.1,1.974e+01,2.751e+01,3.991e+01,8.715e+01
4.7,1.935e+01,2.568e+01,3.900e+02,4.351e+02
6.2,2.323e+01,2.320e+01,1.493e+03,1.539e+03
7.8,6.747e+01,2.463e+01,2.618e+03,2.710e+03
9.3,7.474e+01,2.565e+01,2.531e+03,2.631e+03
10.9,2.795e+01,2.931e+01,3.238e+03,3.295e+03
12.4,2.184e+01,2.813e+01,4.822e+03,4.872e+03
14.0,2.335e+01,2.544e+01,6.828e+03,6.877e+03
15.5,2.540e+01,3.180e+01,9.469e+03,9.526e+03
17.1,2.860e+01,4.088e+01,1.223e+04,1.229e+04
18.6,3.373e+01,4.195e+01,1.518e+04,1.525e+04
20.2,3.628e+01,3.630e+01,1.844e+04,1.852e+04
21.7,3.200e+01,5.003e+01,2.293e+04,2.301e+04
23.3,2.483e+01,8.562e+01,2.876e+04,2.887e+04
24.8,2.682e+01,1.179e+02,3.556e+04,3.571e+04
26.4,2.784e+01,1.613e+02,4.399e+04,4.418e+04
27.9,2.871e+01,2.684e+02,5.575e+04,5.604e+04
29.5,2.982e+01,3.753e+02,7.265e+04,7.305e+04
31.0,3.597e+01,5.469e+02,9.599e+04,9.657e+04
32.6,4.118e+01,8.747e+02,1.292e+05,1.301e+05
34.1,1.008e+02,1.532e+03,1.837e+05,1.853e+05
35.7,2.099e+02,2.690e+03,2.702e+05,2.731e+05
37.2,3.621e+02,4.861e+03,4.138e+05,4.190e+05
38.8,9.624e+02,1.038e+04,7.378e+05,7.491e+05
40.3,5.074e+03,2.916e+04,1.726e+06,1.761e+06
41.9,2.074e+04,6.500e+04,3.392e+06,3.478e+06
43.4,3.218e+04,8.141e+04,3.699e+06,3.812e+06
45.0,2.592e+04,7.370e+04,2.872e+06,2.971e+06
46.5,1.415e+04,5.799e+04,2.078e+06,2.150e+06
48.1,8.477e+03,4.886e+04,1.599e+06,1.656e+06
49.6,8.181e+03,4.867e+04,1.317e+06,1.373e+06
51.2,6.605e+03,5.621e+04,1.108e+06,1.171e+06
52.7,5.638e+03,5.927e+04,9.522e+05,1.017e+06
54.3,4.731e+03,5.813e+04,8.494e+05,9.123e+05
55.8,3.810e+03,5.652e+04,7.900e+05,8.503e+05
57.4,4.717e+03,5.507e+04,7.517e+05,8.115e+05
58.9,6.448e+03,5.220e+04,6.519e+05,7.106e+05
60.5,1.022e+04,4.968e+04,5.336e+05,5.935e+05
62.0,1.007e+04,5.211e+04,4.113e+05,4.735e+05
63.6,4.589e+03,4.272e+04,2.271e+05,2.745e+05
65.1,2.747e+03,2.865e+04,1.127e+05,1.441e+05
66.7,4.923e+03,2.649e+04,8.722e+04,1.186e+05
68.2,8.676e+03,2.755e+04,7.797e+04,1.142e+05
69.8,8.438e+03,3.166e+04,7.258e+04,1.127e+05
71.3,6.042e+03,3.929e+04,7.150e+04,1.168e+05
72.9,6.401e+03,4.501e+04,7.090e+04,1.223e+05
74.4,9.633e+03,5.053e+04,7.407e+04,1.342e+05
76.0,1.036e+04,5.270e+04,7.270e+04,1.358e+05
77.5,6.075e+03,5.220e+04,6.583e+04,1.241e+05
79.1,3.071e+03,6.196e+04,6.672e+04,1.318e+05
80.6,3.566e+03,8.009e+04,7.649e+04,1.601e+05
82.2,5.606e+03,9.672e+04,8.480e+04,1.871e+05
83.7,7.517e+03,9.746e+04,7.799e+04,1.830e+05
85.3,1.235e+04,8.426e+04,6.064e+04,1.573e+05
86.8,1.852e+04,7.358e+04,4.547e+04,1.376e+05
88.4,1.737e+04,6.169e+04,3.231e+04,1.114e+05
89.9,1.181e+04,5.182e+04,2.414e+04,8.777e+04
91.5,9.669e+03,4.105e+04,1.764e+04,6.836e+04
93.0,1.183e+04,2.791e+04,1.232e+04,5.205e+04
94.6,1.452e+04,2.041e+04,1.341e+04,4.835e+04
96.1,1.144e+04,2.607e+04,2.375e+04,6.126e+04
97.7,1.084e+04,4.258e+04,3.050e+04,8.392e+04
99.2,1.178e+04,9.677e+04,4.166e+04,1.502e+05
100.8,1.531e+04,1.643e+05,5.183e+04,2.314e+05
102.3,1.843e+04,2.189e+05,5.266e+04,2.900e+05
103.9,2.058e+04,2.520e+05,4.557e+04,3.181e+05
105.4,2.164e+04,2.449e+05,3.444e+04,3.010e+05
107.0,2.432e+04,2.435e+05,2.892e+04,2.968e+05
